Latitude,Longitude,Elevation,LatitudeID,LongitudeID
45.84986054412121,17.74986031997845,101.0,2,17
45.84986054412121,17.8498603195784,103.4,2,18
45.84986054412121,17.949860319178345,96.0,2,19
45.84986054412121,18.049860318778297,93.4,2,20
45.84986054412121,18.14986031837824,96.8,2,21
45.84986054412121,18.249860317978193,134.2,2,22
45.84986054412121,18.349860317578145,103.2,2,23
45.84986054412121,18.44986031717809,106.2,2,24
45.84986054412121,18.54986031677804,109.0,2,25
45.949860543803865,17.349860321578657,106.6,3,13
45.949860543803865,17.4498603211786,108.2,3,14
45.949860543803865,17.549860320778553,111.0,3,15
45.949860543803865,17.649860320378504,107.2,3,16
45.949860543803865,17.74986031997845,101.2,3,17
45.949860543803865,17.8498603195784,101.2,3,18
45.949860543803865,17.949860319178345,100.6,3,19
45.949860543803865,18.049860318778297,112.2,3,20
45.949860543803865,18.14986031837824,153.2,3,21
45.949860543803865,18.249860317978193,184.0,3,22
45.949860543803865,18.349860317578145,134.2,3,23
45.949860543803865,18.44986031717809,122.4,3,24
45.949860543803865,18.54986031677804,125.2,3,25
45.949860543803865,18.649860316377985,89.0,3,26
45.949860543803865,18.749860315977937,83.4,3,27
45.949860543803865,18.84986031557789,81.0,3,28
45.949860543803865,18.949860315177833,83.8,3,29
46.049860543486524,17.349860321578657,112.8,4,13
46.049860543486524,17.4498603211786,134.2,4,14
46.049860543486524,17.549860320778553,144.2,4,15
46.049860543486524,17.649860320378504,132.0,4,16
46.049860543486524,17.74986031997845,115.2,4,17
46.049860543486524,17.8498603195784,135.2,4,18
46.049860543486524,17.949860319178345,136.4,4,19
46.049860543486524,18.049860318778297,166.2,4,20
46.049860543486524,18.14986031837824,211.4,4,21
46.049860543486524,18.249860317978193,161.4,4,22
46.049860543486524,18.349860317578145,173.2,4,23
46.049860543486524,18.44986031717809,170.0,4,24
46.049860543486524,18.54986031677804,167.8,4,25
46.049860543486524,18.649860316377985,142.8,4,26
46.049860543486524,18.749860315977937,106.6,4,27
46.049860543486524,18.84986031557789,84.2,4,28
46.049860543486524,18.949860315177833,89.8,4,29
46.049860543486524,19.049860314777785,96.0,4,30
46.049860543486524,19.14986031437773,103.4,4,31
46.049860543486524,19.24986031397768,112.0,4,32
46.049860543486524,19.349860313577626,115.2,4,33
46.14986054316918,17.249860321978705,139.4,5,12
46.14986054316918,17.349860321578657,125.4,5,13
46.14986054316918,17.4498603211786,140.2,5,14
46.14986054316918,17.549860320778553,164.4,5,15
46.14986054316918,17.649860320378504,158.6,5,16
46.14986054316918,17.74986031997845,164.0,5,17
46.14986054316918,17.8498603195784,189.0,5,18
46.14986054316918,17.949860319178345,221.2,5,19
46.14986054316918,18.049860318778297,245.8,5,20
46.14986054316918,18.14986031837824,284.4,5,21
46.14986054316918,18.249860317978193,309.0,5,22
46.14986054316918,18.349860317578145,301.0,5,23
46.14986054316918,18.44986031717809,229.8,5,24
46.14986054316918,18.54986031677804,209.6,5,25
46.14986054316918,18.649860316377985,170.8,5,26
46.14986054316918,18.749860315977937,107.8,5,27
46.14986054316918,18.84986031557789,88.6,5,28
46.14986054316918,18.949860315177833,94.2,5,29
46.14986054316918,19.049860314777785,118.6,5,30
46.14986054316918,19.14986031437773,121.8,5,31
46.14986054316918,19.24986031397768,120.2,5,32
46.14986054316918,19.349860313577626,125.0,5,33
46.14986054316918,19.449860313177577,131.2,5,34
46.14986054316918,19.84986031157737,99.6,5,38
46.14986054316918,20.049860310777266,75.2,5,40
46.14986054316918,20.149860310377218,74.4,5,41
46.14986054316918,20.24986030997717,77.0,5,42
46.14986054316918,20.449860309177065,77.0,5,44
46.14986054316918,20.64986030837696,82.4,5,46
46.249860542851835,16.949860323178864,139.8,6,9
46.249860542851835,17.04986032277881,131.4,6,10
46.249860542851835,17.14986032237876,143.0,6,11
46.249860542851835,17.249860321978705,150.6,6,12
46.249860542851835,17.349860321578657,142.0,6,13
46.249860542851835,17.4498603211786,142.2,6,14
46.249860542851835,17.549860320778553,164.2,6,15
46.249860542851835,17.649860320378504,192.2,6,16
46.249860542851835,17.74986031997845,216.6,6,17
46.249860542851835,17.8498603195784,195.2,6,18
46.249860542851835,17.949860319178345,210.8,6,19
46.249860542851835,18.049860318778297,204.2,6,20
46.249860542851835,18.14986031837824,174.8,6,21
46.249860542851835,18.249860317978193,217.6,6,22
46.249860542851835,18.349860317578145,277.8,6,23
46.249860542851835,18.44986031717809,225.4,6,24
46.249860542851835,18.54986031677804,203.0,6,25
46.249860542851835,18.649860316377985,173.4,6,26
46.249860542851835,18.749860315977937,85.4,6,27
46.249860542851835,18.84986031557789,86.6,6,28
46.249860542851835,18.949860315177833,91.0,6,29
46.249860542851835,19.049860314777785,133.4,6,30
46.249860542851835,19.14986031437773,141.4,6,31
46.249860542851835,19.24986031397768,132.0,6,32
46.249860542851835,19.349860313577626,130.6,6,33
46.249860542851835,19.449860313177577,131.4,6,34
46.249860542851835,19.54986031277753,130.6,6,35
46.249860542851835,19.649860312377474,124.6,6,36
46.249860542851835,19.749860311977425,113.2,6,37
46.249860542851835,19.84986031157737,98.2,6,38
46.249860542851835,19.94986031117732,87.0,6,39
46.249860542851835,20.049860310777266,78.6,6,40
46.249860542851835,20.149860310377218,78.2,6,41
46.249860542851835,20.24986030997717,80.4,6,42
46.249860542851835,20.349860309577114,78.0,6,43
46.249860542851835,20.449860309177065,77.8,6,44
46.249860542851835,20.54986030877701,82.0,6,45
46.249860542851835,20.64986030837696,86.0,6,46
46.249860542851835,21.049860306776754,99.4,6,50
